"id";"ingredientId";"foodItemId"
"812";"9";"2376"
"813";"16";"2376"
"814";"55";"2376"
"815";"56";"2376"
"816";"108";"2376"
"817";"147";"2376"
"888";"1";"2367"
"889";"11";"2367"
"890";"12";"2367"
"891";"13";"2367"
"899";"1";"1"
"900";"2";"1"
"901";"3";"1"
"902";"1";"2"
"903";"2";"2"
"904";"4";"2"
"905";"1";"3"
"906";"2";"3"
"907";"5";"3"
"908";"6";"3"
"909";"7";"3"
"910";"3";"4"
"911";"8";"4"
"912";"9";"4"
"913";"10";"4"
"914";"10";"5"
"915";"38";"5"
"916";"45";"5"
"917";"88";"5"
"918";"1";"7"
"919";"2";"7"
"920";"15";"7"
"921";"16";"7"
"957";"44";"2383"
"958";"118";"2383"
"959";"119";"2383"
"960";"120";"2383"
"965";"65";"2385"
"966";"66";"2385"
"967";"67";"2385"
"968";"68";"2385"
"988";"65";"2392"
"989";"66";"2392"
"990";"67";"2392"
"991";"68";"2392"
"995";"6";"2393"
"996";"76";"2393"
"997";"149";"2393"
"1018";"32";"2406"
"1019";"33";"2406"
"1020";"34";"2406"
"1021";"35";"2406"
"1022";"36";"2406"
"1023";"143";"2267"
"1024";"154";"2267"
"1025";"155";"2267"
"1053";"39";"2415"
"1054";"40";"2415"
"1055";"41";"2415"
"1056";"42";"2415"
"1060";"118";"2416"
"1061";"119";"2416"
"1062";"156";"2416"
"1070";"16";"2418"
"1071";"43";"2418"
"1072";"44";"2418"
"1073";"45";"2418"
"1074";"46";"2418"
"1075";"47";"2418"
"1076";"89";"2418"
"1080";"51";"2419"
"1081";"52";"2419"
"1082";"53";"2419"
"1087";"2";"2420"
"1088";"54";"2420"
"1089";"55";"2420"
"1090";"89";"2420"
"1129";"6";"2427"
"1130";"76";"2427"
"1131";"149";"2427"
"1148";"9";"2431"
"1149";"16";"2431"
"1150";"55";"2431"
"1151";"56";"2431"
"1152";"108";"2431"
"1153";"147";"2431"
"1189";"53";"2445"
"1190";"92";"2445"
"1191";"155";"2445"
"1192";"157";"2445"
"1204";"42";"2449"
"1205";"118";"2449"
"1206";"161";"2449"
"1207";"162";"2449"
"1208";"163";"2449"
"1230";"3";"2453"
"1231";"8";"2453"
"1232";"10";"2453"
"1233";"37";"2453"
"1234";"38";"2453"
"1235";"148";"2453"
"1240";"44";"2423"
"1241";"60";"2423"
"1242";"61";"2423"
"1243";"62";"2423"
"1244";"92";"2423"
"1257";"157";"2425"
"1258";"159";"2425"
"1262";"10";"2428"
"1263";"56";"2428"
"1264";"75";"2428"
"1265";"89";"2428"
"1266";"149";"2428"
"1271";"64";"2455"
"1272";"69";"2455"
"1273";"116";"2455"
"1274";"164";"2455"
"1283";"53";"2422"
"1284";"92";"2422"
"1285";"155";"2422"
"1286";"157";"2422"
"1287";"160";"2422"
"1294";"3";"2462"
"1295";"7";"2462"
"1296";"10";"2462"
"1297";"69";"2462"
"1298";"70";"2462"
"1299";"71";"2462"
"1384";"65";"2476"
"1385";"72";"2476"
"1386";"73";"2476"
"1438";"130";"2483"
"1439";"132";"2483"
"1440";"142";"2483"
"1441";"166";"2483"
"1453";"165";"2486"
"1454";"168";"2486"
"1455";"170";"2486"
"1462";"132";"2379"
"1463";"134";"2379"
"1464";"151";"2379"
"1465";"152";"2379"
"1518";"91";"2254"
"1519";"116";"2254"
"1520";"157";"2254"
"1521";"171";"2254"
"1583";"121";"2484"
"1584";"123";"2484"
"1585";"130";"2484"
"1586";"167";"2484"
"1587";"3";"2480"
"1588";"84";"2480"
"1589";"123";"2480"
"1590";"130";"2480"
"1591";"123";"2380"
"1592";"129";"2380"
"1593";"131";"2380"
"1594";"142";"2380"
"1595";"123";"2298"
"1596";"131";"2298"
"1597";"141";"2298"
"1598";"142";"2298"
"1612";"53";"2489"
"1613";"121";"2489"
"1614";"122";"2489"
"1615";"123";"2489"
"1616";"124";"2489"
"1617";"3";"2296"
"1618";"132";"2296"
"1619";"134";"2296"
"1620";"135";"2296"
"1621";"136";"2296"
"1622";"137";"2297"
"1623";"138";"2297"
"1624";"139";"2297"
"1625";"140";"2297"
"1636";"78";"2507"
"1637";"84";"2507"
"1638";"132";"2507"
"1639";"173";"2507"
"1640";"174";"2507"
"1641";"76";"2295"
"1642";"78";"2295"
"1643";"130";"2295"
"1644";"131";"2295"
"1645";"132";"2295"
"1646";"133";"2295"
"1662";"81";"2511"
"1663";"175";"2511"
"1664";"175";"2512"
"1665";"176";"2512"
"1666";"81";"2513"
"1667";"175";"2513"
"1668";"175";"2514"
"1669";"176";"2514"
"1677";"10";"23"
"1678";"48";"23"
"1679";"49";"23"
"1737";"179";"2523"
"1738";"181";"2523"
"1739";"182";"2523"
"1775";"121";"2536"
"1776";"123";"2536"
"1777";"183";"2536"
"1798";"84";"2537"
"1799";"123";"2537"
"1800";"130";"2537"
"1801";"142";"2537"
"1802";"184";"2537"
"1831";"177";"2553"
"1832";"178";"2553"
"1840";"185";"2552"
"1841";"186";"2552"
"1842";"187";"2552"
"1843";"188";"2552"
"1851";"32";"2413"
"1852";"33";"2413"
"1853";"34";"2413"
"1854";"35";"2413"
"1855";"36";"2413"
"1864";"65";"2426"
"1865";"72";"2426"
"1866";"73";"2426"
"1883";"51";"2578"
"1884";"64";"2578"
"1885";"80";"2578"
"1886";"172";"2578"
"1892";"177";"2518"
"1893";"178";"2518"
"1894";"35";"2447"
"1928";"179";"2524"
"1929";"181";"2524"
"1930";"182";"2524"
"1951";"65";"32"
"1952";"72";"32"
"1953";"73";"32"
"1954";"6";"33"
"1955";"76";"33"
"1956";"149";"33"
"1976";"51";"2589"
"1977";"52";"2589"
"1978";"53";"2589"
"2015";"51";"2588"
"2016";"52";"2588"
"2017";"53";"2588"
"2023";"40";"2451"
"2024";"64";"2451"
"2025";"116";"2451"
"2026";"192";"2451"
"2088";"76";"2694"
"2089";"121";"2694"
"2090";"130";"2694"
"2091";"132";"2694"
"2092";"195";"2694"
"2093";"76";"2713"
"2094";"131";"2713"
"2095";"196";"2713"
"2096";"197";"2713"
"2106";"121";"2727"
"2107";"132";"2727"
"2108";"199";"2727"
"2109";"200";"2727"
"2113";"74";"2259"
"2114";"118";"2259"
"2115";"119";"2259"
"2116";"91";"2191"
"2117";"3";"17"
"2118";"8";"17"
"2119";"10";"17"
"2120";"37";"17"
"2121";"38";"17"
"2124";"10";"28"
"2125";"44";"28"
"2126";"64";"28"
"2127";"90";"28"
"2128";"91";"28"
"2129";"92";"28"
"2130";"117";"28"
"2138";"16";"20"
"2139";"43";"20"
"2140";"44";"20"
"2141";"45";"20"
"2142";"46";"20"
"2143";"47";"20"
"2144";"89";"20"
"2145";"39";"18"
"2146";"40";"18"
"2147";"41";"18"
"2148";"42";"18"
"2160";"65";"29"
"2161";"66";"29"
"2162";"67";"29"
"2163";"68";"29"
"2164";"13";"26"
"2165";"16";"26"
"2166";"57";"26"
"2167";"58";"26"
"2168";"59";"26"
"2169";"127";"26"
"2170";"3";"2590"
"2171";"6";"2590"
"2172";"57";"2590"
"2173";"69";"2590"
"2174";"194";"2590"
"2180";"53";"2412"
"2181";"155";"2412"
"2182";"157";"2412"
"2183";"160";"2412"
"2184";"177";"2412"
"2191";"9";"2587"
"2192";"37";"2587"
"2193";"51";"2587"
"2201";"190";"2752"
"2202";"201";"2752"
"2203";"203";"2752"
"2204";"204";"2752"
"2205";"32";"16"
"2206";"33";"16"
"2207";"34";"16"
"2208";"35";"16"
"2209";"36";"16"
"2214";"2";"25"
"2215";"54";"25"
"2216";"55";"25"
"2217";"89";"25"
"2225";"44";"27"
"2226";"60";"27"
"2227";"61";"27"
"2228";"62";"27"
"2229";"92";"27"
"2236";"69";"2785"
"2237";"205";"2785"
"2238";"207";"2785"
"2239";"208";"2785"
"2240";"11";"2792"
"2241";"69";"2792"
"2242";"207";"2792"
"2243";"208";"2792"
"2244";"209";"2793"
"2245";"211";"2793"
"2246";"90";"2794"
"2247";"91";"2794"
"2248";"177";"2794"
"2249";"209";"2794"
"2250";"210";"2794"
"2255";"126";"2280"
"2256";"3";"31"
"2257";"7";"31"
"2258";"10";"31"
"2259";"69";"31"
"2260";"70";"31"
"2265";"39";"2289"
"2266";"42";"2289"
"2267";"128";"2289"
"2268";"45";"2800"
"2269";"88";"2800"
"2270";"103";"2800"
"2271";"54";"2189"
"2272";"189";"2189"
"2288";"199";"2832"
"2289";"212";"2832"
"2296";"199";"2803"
"2297";"214";"2803"
"2299";"121";"90"
"2300";"173";"90"
"2301";"129";"2841"
"2302";"130";"2841"
"2303";"131";"2841"
"2304";"132";"2842"
"2305";"134";"2842"
"2306";"136";"2842"
"2307";"134";"2840"
"2308";"175";"2840"
"2309";"212";"2840"
"2310";"79";"2844"
"2311";"84";"2844"
"2312";"123";"2844"
"2313";"215";"2844"
"2314";"84";"2845"
"2315";"121";"2845"
"2316";"216";"2845"
"2319";"159";"2402"
"2320";"165";"2402"
"2326";"53";"68"
"2327";"77";"68"
"2328";"78";"68"
"2329";"79";"68"
"2330";"80";"68"
"2336";"10";"34"
"2337";"56";"34"
"2338";"75";"34"
"2339";"89";"34"
"2340";"149";"34"
"2341";"83";"2836"
"2342";"129";"2836"
"2343";"131";"2836"
"2346";"121";"2838"
"2347";"132";"2838"
"2348";"136";"2838"
"2349";"213";"2838"
"2350";"129";"2837"
"2351";"141";"2837"
"2352";"81";"72"
"2353";"83";"72"
"2354";"84";"72"
"2355";"53";"73"
"2356";"80";"73"
"2357";"81";"73"
"2358";"83";"73"
"2359";"76";"91"
"2360";"82";"91"
"2361";"86";"91"
"2362";"87";"91"
"2363";"132";"91"
"2369";"76";"2880"
"2370";"82";"2880"
"2371";"87";"2880"
"2372";"132";"2880"
"2373";"133";"2880"
"2374";"129";"2294"
"2375";"130";"2294"
"2376";"131";"2294"
"2377";"81";"71"
"2378";"82";"71"
"2379";"83";"71"
"2380";"53";"74"
"2381";"85";"74"
"2382";"53";"2525"
"2383";"122";"2525"
"2386";"162";"2883"
"2387";"170";"2883"
