"id";"name.it";"name.en";"description.it";"description.en";"enabled";"imageId";"price"
"41";"Tomahawk Di scottona (alta qualità certificata)  alla griglia con verdure X 2 pax";"Grilled Tomahawk beef steak (Hi quality)  for 2 people with grilled vegetables";"€10 x 100 gr ";"€10 x 100 gr";"1";"147";\N
"42";"Patate al forno";"Baked potatoes";"";"";"1";"148";"8"
"46";"Friarielli alla napoletana";"Neapolitan friarielli";"";"";"0";"152";"10"
"47";"Zucchine alla Scapece";"Scapece zucchini (marinated in vinegar and mint)";"";"";"1";"153";"8"
"48";"Tiramisù con Cuore di Nutella";"Enzo’s Tiramisù with Nutella";"";"";"1";"154";"10"
"49";"Babà in Bicchiere con Crema e Amarena";"Lemon Baba Filled with Chantilly Limoncello Cream";"";"";"0";"155";"10"
"50";"Tortino al Cioccolato all'Arancia e Pere con Gelato alla Vaniglia";"Chocolate Cupcake with Oranges, Pears and Vanilla Ice Cream";"";"";"0";"156";"8"
"51";"Sorbetti Artigianali misti di Frutta Fresca";" Mixed Fresh Fruit Sherbet";"";"";"0";"157";"15"
"55";"Birra di Riso (rice beer) soc AGR la fagiana(Torre di Fine, Eraclea  Ve)";"Rice Beer soc agr La Fagiana (Torre di Fine, Eraclea VE)";"Bottiglia da 750 cl";"Bottle 750 cl";"0";"161";"18"
"56";"Birra Hoegaarden";"Hoegaarden";"Alla spina 50 cl";"Draft beer 50 cl";"0";"162";"9"
"58";"BECKS ANALCOLICA";"BECKS NO ALCOOL";"";"";"1";"164";"9"
"59";"Coca Cola";"Coke";"";"";"1";"165";"6"
"60";"Fanta";"Fanta";"";"";"1";"166";"6"
"61";"Coca Cola zero";"Coke Zero";"";"";"1";"167";"6"
"62";"Lemon Soda";"Lemon Soda";"";"";"1";"168";"6"
"63";"Sprite";"Sprite";"";"";"0";"169";"6"
"64";"Tonica";"Tonic";"";"";"1";"170";"6"
"66";"Ginger Ale";"Ginger Ale";"";"";"1";"172";"6"
"68";"Rialto Spritz";"Rialto Spritz";"";"";"1";"174";"15"
"69";"Spritz";"Spritz";"";"";"1";"175";"9"
"70";"Gingerino";"Gingerino";"Aperitivo Analcolico";"Analcolic Aperitf";"1";"677";"6"
"71";"Americano";"Americano";"";"";"1";"176";"12"
"72";"Negroni";"Negroni";"";"";"1";"177";"14"
"73";"Negroni Sbagliato";"Negroni Sbagliato";"";"";"1";"178";"14"
"74";"Bellini";"Bellini";"";"";"1";"179";"12"
"76";"Caffè";"Coffee";"";"";"1";"181";"4"
"77";"Decaffeinato";"Decaf";"";"";"1";"182";"5.5"
"78";"Macchiatone";"Macchiatone";"";"";"1";"183";"5.5"
"79";"Americano";"Americano";"";"";"1";"184";"5"
"80";"Caffè Corretto";"Caffè Corretto";"";"";"1";"185";"5.5"
"81";"Orzo";"Barley Coffee";"";"";"1";"186";"5"
"82";"Cappuccino";"Cappuccino";"";"";"1";"187";"7"
"83";"Latte Macchiato";"Latte Macchiato";"";"";"1";"188";"6"
"84";"Caffè doppio";"Caffè doppio";"";"";"1";"189";"8"
"86";"Cioccolata Calda";"Hot Chocolate";"";"";"1";"191";"5"
"88";"Caffè shakerato";"Shaked Coffee";"";"";"1";"193";"8"
"89";"Espresso Martini";"Espresso Martini";"";"";"1";"194";"16"
"90";"Black Russian";"Black Russian";"";"";"0";"195";"9"
"91";"Mojito";"Mojito";"";"";"1";"196";"15"
"92";"Grappa di Chardonnay Nonnino";"Grappa di Chardonnay Nonnino";"";"";"1";"197";"12"
"93";"Grappa Nonino Moscato";"Grappa Nonino Moscato";"";"";"1";"198";"12"
"94";"Grappa di Prosecco Nonino";"Grappa di Prosecco Nonino";"";"";"1";"199";"12"
"95";"Grappa Poli";"Grappa Poli";"";"";"1";"200";"13"
"96";"Grappa di Amarone Bonollo";"Grappa di Amarone Bonollo";"";"";"1";"201";"15"
"97";"Grappa Storica Bianca";"Grappa Storica Bianca";"";"";"1";"202";"13"
"98";"Grappa Storica Nera";"Grappa Storica Nera";"";"";"1";"203";"15"
"99";"Grappa 903 Barrique";"Grappa 903 Barrique";"";"";"1";"204";"9"
"101";"Grappa Prime Uve Nera";"Grappa Prime Uve Nera";"";"";"1";"206";"12"
"102";"Whisky Lagavulin";"Whisky Lagavulin";"";"";"1";"207";"15"
"103";"Whisky Laphroig";"Whisky Laphroig";"";"";"1";"208";"15"
"104";"Whisky Talisker";"Whisky Talisker";"";"";"1";"209";"14"
"106";"Whisky Jameson";"Jameson whisky";"";"";"0";"211";"9"
"107";"Whisky Oban";"Oban 14 whisky";"";"";"1";"212";"16"
"108";"Jack Daniels";"Jack Daniels";"";"";"1";"213";"12"
"109";"Whisky Johnny Walker Black Label";"Johnny Walker Black Label Whisky";"";"";"1";"214";"16"
"110";"MACALLAN 12 ANNI TRIPLE CASCK";"MACALLAN 12 YEARS OLD TRIPLE CASK";"";"";"1";"215";"19"
"111";"Whisky Glenmorangie";"Whisky Glenmorangie";"";"";"0";"216";"10"
"112";"Rhum Zacapa 23 Anos";"Rhum Zacapa 23 Anos";"";"";"1";"217";"14"
"113";"Rhum Zacapa XO Riserva";"Rhum Zacapa XO Riserva";"";"";"1";"218";"22"
"114";"Rhum Matuzalem";"Rhum Matuzalem";"";"";"1";"219";"14"
"115";"Rhum Diplomatico Reserva";"Rhum Diplomatico Reserva";"";"";"1";"220";"12"
"116";"Rhum Pampero Anniversario";"Rhum Pampero Anniversario";"";"";"0";"221";"7"
"117";"PINOT GRIGIO \"Dessimis\"(Vie de Romans,Mariano Del Friuli GO)  2021";"PINOT GRIGIO \"Dessimis\"(Vie de Romans,Mariano Del Friuli GO)2021";"anno 2021 Questo Pinot Grigio “Dessimis” firmato Vie di Romans si annuncia alla vista con il tipico colore ramato. Il ventaglio di profumi che ne delinea il profilo olfattivo racconta una traccia raffinata fatta di sensazioni fruttate, impreziosita anche da leggere sfumature tendenti al floreale. In bocca è di buon corpo, ampio e fasciante al palato, con un sorso dotato di una piacevole freschezza, orientato a tonalità fruttate Un’etichetta di assoluto spessore, che si “arrampica” sino ai vertici qualitativi delle principali guide di settore italiane e internazionale, sfiorando la perfezione.  Colore Ramato Profumo Ricco, elegante e complesso, con sentori di ciliegia, pompelmo rosa e geranio Gusto Morbido, cremoso e avvolgente, succoso, fresco e fruttato";"year 2021 This Pinot Grigio \"Dessimis\" signed Vie di Romans announces itself with the typical coppery color. The range of perfumes that outlines its olfactory profile tells a refined trace made of fruity sensations, enhanced also by light shades tending towards floral. In the mouth it is full-bodied, broad and enveloping on the palate, with a sip with a pleasant freshness, oriented towards fruity tones. A label of absolute thickness, which \"climbs\" up to the top quality of the main Italian and international sector guides. , touching perfection. Coppery color Bouquet Rich, elegant and complex, with hints of cherry, pink grapefruit and geranium Taste Soft, creamy and enveloping, juicy, fresh and fruity";"0";"222";"75"
"120";"SAUVIGNON DEL COLLIO TIARE 2023";"SAUVIGNON  DEL COLLIO TIARE 2023";":100% Sauvignon Zona di produzione:Dolegna del Collio Terreno:limo argilloso Vinificazione:criomacerazione a freddo, pressatura soffice, decantazione statica e fermentazione in vasca di acciaio inox; il 20% svolge la fermentazione malolatticaSistema di allevamento:guyot 10 gemme Vendemmia:manuale prima e seconda decade di settembre in funzione della posizione della vigna Caratteristiche:ha colore paglierino con riflessi verdognoli. Il profumo intenso e caratteristico, ricorda il sambuco, la ginestra, pompelmo rosa e mango, in perfetta armonia. Al palato si rivela fresco, di ottima struttura e grintoso";" 100% Sauvignon Production area: Dolegna del Collio Soil: clayey silt Vinification: cold cryomaceration, soft pressing, static settling and fermentation in stainless steel tank; 20% carry out malolactic fermentation. Breeding system: guyot 10 buds. Harvest: manual first and second ten days of September according to the position of the vine. Characteristics: it has a straw color with greenish reflections. The intense and characteristic aroma recalls elderberry, broom, pink grapefruit and mango, in perfect harmony. On the palate it is fresh, well-structured and gritty";"1";"225";"52"
"121";"SAUVIGNON \"Piere\"(Vie de Romans,Mariano Del Friuli GO  2022";"SAUVIGNON \"Piere\"(Vie de Romans,Mariano Del Friuli GO";"anno 2022. Denominazione Friuli Isonzo DOC Vitigni Sauvignon 100% Regione Friuli Venezia Giulia (Italia) Gradazione 14.5% Formato Bottiglia 75 cl Affinamento 8 mesi sui lieviti in acciaio e almeno 10 in bottiglia Filosofia produttiva Vignaioli Indipendenti";"* anno 2022 Denominazione Friuli Isonzo DOC Vitigni Sauvignon 100% Regione Friuli Venezia Giulia (Italia) Gradazione 14.5% Formato Bottiglia 75 cl Affinamento 8 mesi sui lieviti in acciaio e almeno 10 in bottiglia Filosofia produttiva Vignaioli Indipendenti *";"0";"226";"72"
"122";"RIBOLLA GIALLA (TIARE, Dolegna del Collio GO) 2022";"RIBOLLA GIALLA (TIARE, Dolegna del Collio GO) 2022";"anno 2022. D.O.C. Collio Uve da cui è prodotto:100% Ribolla Gialla Zona di produzione:Dolegna del Collio Terreno:limo argilloso Vinificazione:macerazione breve, pressatura soffice, decantazione statica e fermentazione in acciaio inox a temperatura controllata; affinamento sur lies fino a marzo Sistema di allevamento:guyot 10 gemme Vendemmia:manuale terza decade di settembre Caratteristiche:presenta un colore paglierino vivace e profumo fruttato e gradevole. Il sapore è vivace ed armonico con ottima sapidità";"year 2022D.O.C. Collio Grapes from which it is produced: 100% Ribolla Gialla Production area: Dolegna del Collio Soil: clayey silt Vinification: short maceration, soft pressing, static decantation and fermentation in stainless steel at controlled temperature; aging on lies until March. Training system: guyot 10 buds. Harvest: manual, third decade of September. Characteristics: it has a lively straw color and a fruity and pleasant aroma. The flavor is lively and harmonious with excellent flavor";"0";"227";"46"
"125";"GEWURTZTRAMINER \"WeinBerghof\"(Az.Agr. Belluti,sud tiroler) 2022";"GEWURTZTRAMINER \"WeinBerghof\"(Az.Agr. Belluti,sud tiroler) 2022";"Denominazione Alto Adige/Sudtirol DOC.  Vitigni Gewurztraminer 100%.  Regione Alto Adige (Italia).  Gradazione 14.5%.  Vigneti Viti site a 350 mt. s.l.m. su terreno argilloso. Resa per ettaro di 60 ettolitri.  Vinificazione Macerazione a freddo per poche ore, pressatura soffice e fermentazione alcolica in acciaio  Affinamento Qualche mese in acciaio sulla feccia fine  Colore Giallo paglierino intenso tendente al dorato Profumo Intenso, floreale, di uva passa, lychee e rose Gusto Aromatico, sapido, elegante e persistente";"Denomination Alto Adige / Sudtirol DOC Grapes Gewurztraminer 100% Alto Adige Region (Italy) Alcohol 14.5% Vineyards Vines located at 350 mt. s.l.m. on clayey soil. Yield per hectare of 60 hectoliters Winemaking Cold maceration for a few hours, soft pressing and alcoholic fermentation in steel Aging A few months in steel on the fine lees Color Intense straw yellow tending to golden Bouquet Intense, floral, of raisins, lychee and roses Taste Aromatic , savory, elegant and persistent";"0";"230";"48"
"127";"MALVASIA ISTRIANA\" Terre Nere\"(Az Agr Vina Cattunar,Verteneglio Istria Croazia)";"MALVASIA ISTRIANA\"Terre Nere\"(Az Agr Vina Cattunar,Verteneglio Istria Croazia)";"ANNO 2021   Varietà d'uva Malvasia istriana Vigneto Los Anni del vigneto 15 anni Posizione del vigneto ovest Modalità di coltivazione guyot semplice Composizione della terra terra marrone su marna Tempo di vendemmia settembre Vendemmia manuale Vinificazione selezione manuale dell'uva, macerazione a freddo, pressatura, fermentazione, sur lie, batonage Stagionatura inox Contenuto alcolico 13,5  Colore giallo dorato, cristallino, profondo e caldo. Profumo intenso, con note di fieno, miele, mele essiccate, tarassaco.  In bocca e fresco e morbido, minerale e cremoso, dal corpo pieno e tendente al robusto. Il sapore e equilibrato e duraturo, con un lungo finale espressivo.  Si abbina a piatti di pesce al forno e alla griglia, crostacei in umido e selvaggina (lepre, cervo).";"YEAR 2021 Grape variety Istrian Malvasia Vineyard Los Years of the vineyard 15 years Location of the west vineyard Mode of cultivation simple guyot Composition of the earth brown earth on marl Harvest time September Manual harvest Vinification Manual selection of the grapes, cold maceration, pressing, fermentation, sur lie, batonage Maturing in stainless steel Alcohol content 13.5 Golden yellow color, crystalline, deep and warm. Intense aroma, with notes of hay, honey, dried apples, dandelion. In the mouth it is fresh and soft, mineral and creamy, with a full body tending towards robust. The flavor is balanced and lasting, with a long expressive finish.";"0";"232";"39"
"129";"Chardonnay \"Ciampagnis\" Vie di Romans 2021";"Chardonnay \"Ciampagnis\" Vie di Romans 2021";"Denominazione Friuli Isonzo DOC Vitigni Chardonnay 100% Regione Friuli Venezia Giulia (Italia) Gradazione 13.5%  Vigneti Terreno poco profondo, debole contenuto in argilla, colore rossiccio per la presenza di ossidi di ferro e alluminio Vinificazione Fermentazione alcolica in acciaio Affinamento 8 mesi sui lieviti in acciaio e 11 mesi in bottiglia Filosofia produttiva Vignaioli Indipendenti  Colore Giallo dorato Profumo Intenso e floreale, sentori di giglio, gelsomino e caprifoglio, note fruttate di pera e agrumi Gusto Armonico ed equilibrato, il finale regala un'ottima sapidità";"Denomination Friuli Isonzo DOC Grapes Chardonnay 100% Friuli Venezia Giulia Region (Italy) Alcohol 13.5% Vineyards Shallow soil, low clay content, reddish color due to the presence of iron and aluminum oxides Vinification Alcoholic fermentation in steel Aging 8 months on the yeasts in steel and 11 months in bottle Production philosophy Independent Winegrowers Color Golden yellow Bouquet Intense and floral, hints of lily, jasmine and honeysuckle, fruity notes of pear and citrus Taste Harmonious and balanced, the finish gives an excellent flavor";"0";"234";"75"
"132";"FROM BLACK TO WHITE\" AZ AGR ZIME' 2020";"FROM BLACK TO WHITE\"  AZ AGR ZIME' 2020";"Anno 2020 Denominazione Veneto IGT Vitigni Rondinella Bianca 60%, Gold Traminer 15%, Kerner 15%, Incrocio Manzoni 10% Regione Veneto (Italia) Gradazione 13.0% Dai vigneti di Negrar, Illasi e Tregnago, su suolo ricco di calcare e argilla Vinificazione Pigiatura con diraspatura, criomacerazione con le bucce per qualche ora, decantazione naturale e fermentazione controllata in vasca di cemento per 20 giorni Affinamento 6 mesi sui lieviti in vasche di cemento Filosofia produttiva Vignaioli Indipendenti  Colore Giallo brillante Profumo Note di acacia e primula, di mela e pompelmo, di vaniglia e sambuco Gusto Delicato ed elegante, avvolgente e ricco, complesso e sapido, minerale e persistente";"Year 2020 Denomination Veneto IGT Vines Rondinella Bianca 60%, Gold Traminer 15%, Kerner 15%, INCROCIO Manzoni 10% Veneto Region (Italy) Alcohol content 13.0% From the vineyards of Negrar, Illasi and Tregnago, on soil rich in limestone and clay Vinification Pressing with destemming, cryomaceration with the skins for a few hours, natural settling and controlled fermentation in cement vats for 20 days Aging 6 months on the lees in cement vats Production philosophy Independent Winegrowers Color Bright yellow Perfume Notes of acacia and primrose, apple and grapefruit , vanilla and elderberry Taste Delicate and elegant, enveloping and rich, complex and savory, mineral and persistent";"1";"237";"47"
"135";"Soave \"Monte Carbonare\"(Az Agr SUAVIA, Fittà di soave,VR) 2021 TAPPO STELVIN";"Soave \"Monte Carbonare\"(Az Agr SUAVIA, Fittà di soave,VR) 2021 STELVIN CAP";"Anno 2018 Classificazione: Soave Classico DOC  Numero di bottiglie prodotte:  Uvaggio: 100% Garganega  Produzione per ettaro: 85 quintali di uva  Inizio raccolta uve: metà ottobre  Modalità della raccolta: manuale  Pigiatura uve: pressatura soffice di uve intere  Fermentazione alcolica: in acciaio  Durata della fermentazione alcolica: 16 giorni  Temperatura fermentazione alcolica: 14-16 °C  Fermentazione malolattica: non svolta  Maturazione: per 15 mesi a contatto con le fecce fini in vasche d'acciaio  Filtrazioni: solo una filtrazione a membrana prima dell’imbottigliamento";"Designation Soave DOC Grape Types< Garganega 100% RegionVeneto (Italy) Alcohol content12.5%  VineyardsIn the Vineyard Carbonare, on soils of volcanic origin  Agin 15 months in steel with the lees  Colour Straw yellow Scent Pleasant notes of citrus, with a finish of mountain herbs Taste Creamy, elegant, with great freshness and flavor";"0";"240";"52"
"142";"INCROCIO MANZONI \"MADRE\" ITALO CESCON";"INCROCIO MANZONI \"MADRE\" ITALO CESCON";"Giallo paglierino luminoso e brillante il colore, con sottili riflessi verdolini alla vista. L’olfatto è elegante e generoso, caratterizzato da sentori che richiamano i fiori d’acacia, la pesca gialla, il cedro e le erbe aromatiche, poi arricchiti da sfumature minerali e di salsedine. Il sorso è scattante e fresco, armonico e coerente con il naso, di ottima lunghezza.  ABBINAMENTI Eccellente con pesce e crostacei, straordinario come aperitivo, è anche ottimo in abbinamento ai primi piatti. Da provare per accompagnare pasta e fave.";"Bright and brilliant straw yellow color, with subtle greenish reflections to the eye. The nose is elegant and generous, characterized by hints that recall acacia flowers, yellow peach, cedar and aromatic herbs, then enriched with mineral and saltiness nuances. The sip is snappy and fresh, harmonious and consistent with the nose, of excellent length. PAIRINGS Excellent with fish and shellfish, extraordinary as an aperitif, it is also excellent in combination with first courses. Try it to accompany pasta and broad beans.";"1";"247";"72"
"143";"PINOT BIANCO Weinberghof Bellutti 2021";"PINOT BIANCO Weinberghof Bellutti 2021";"Il colore va dal giallo verdognolo al giallo chiaro. I profumi sanno leggermente di mela e di limone. Il vino é sottolineato dalla sua sapiditá in bocca e dalla sua mineralitá";"The color ranges from greenish yellow to light yellow. The aromas slightly taste of apple and lemon. The wine is underlined by its flavor in the mouth and by its minerality";"0";"248";"47"
"147";"GRECO DI TUFO \"TERRA D'UVA\" BENITO FERRARA 2021";"GRECO DI TUFO (GRECO DI TUFO \"TERRA D'UVA\" BENITO FERRARA 2021) d.o.c.g. ( Feudi di San Gregorio,Sorbo Serpico AV)";"Il Greco di Tufo Terra d'Uva di Benito Ferrara nasce in vigneti situati nel comune di Tufo, in provincia di Avellino.  È prodotto esclusivamente con uve Greco di Tufo, raccolte e selezionate interamente a mano. La fermentazione avviene in vasche di acciaio inox a temperatura controllata. Successivamente il vino affina per 7 mesi nei medesimi recipienti e per 1-2 mesi in bottiglia, prima di essere commercializzato.  Presenta un colore giallo paglierino più o meno intenso. Al naso si apre con gradevoli profumi floreali, accompagnate da delicati note di frutta gialla. Al palato risulta secco e armonico, con un’inconfondibile sentore di mandorla amara.  Perfetto per accompagnare piatti a base di pesce o di carni bianche, questo vino bianco è ideale in abbinamento a verdura o formaggi freschi.";"The Greco di Tufo Terra d'Uva by Benito Ferrara was born in vineyards located in the municipality of Tufo, in the province of Avellino.  It is produced exclusively with Greco di Tufo grapes, harvested and selected entirely by hand. Fermentation takes place in stainless steel tanks at a controlled temperature. Subsequently the wine ages for 7 months in the same containers and for 1-2 months in the bottle, before being marketed.  It has a more or less intense straw yellow colour. The nose opens with pleasant floral aromas, accompanied by delicate notes of yellow fruit. On the palate it is dry and harmonious, with an unmistakable hint of bitter almond.  Perfect to accompany fish or white meat dishes, this white wine is ideal in combination with vegetables or fresh cheeses.";"0";"252";"44"
"148";"FIANO DI AVELLINO \"Pietracalda\" d.o.c.g. (Feudi di San Gregorio,Sorbo Serpico AV)";"FIANO DI AVELLINO \"Pietracalda\" d.o.c.g. (Feudi di San Gregorio,Sorbo Serpico AV)";"";"";"0";"253";"40"
"149";"FALANGHINA \"MORABIANCA\" MOSTROBERARDINO 2018";"FALANGHINA \"MORABIANCA\" MOSTROBERARDINO 2018";"";"";"0";"254";"28"
"150";"FALANGHINA d.o.c. Campi Flegrei (La Sibilla Bacoli,NA)  2023";"FALANGHINA d.o.c. Campi Flegrei (La Sibilla Bacoli,NA) 2023";"La Falanghina della cantina La Sibilla è un vino prodotto interamente con questo antico vitigno di origine greca, coltivato ancora a piede franco grazie alla composizione vulcanica del terreno e ad un ecosistema che ha arginato i danni incalcolabili della filossera. La vite trae origine dal nome del palo che sostiene la pianta, la Phalange e una volta maturati i grappoli si presentano ben affusolati e dalla bellissima colorazione dorata. Sulle pendici della collina di Baia, immersi in un contesto storico archeologico di rara importanza, nascono grazie alle capacità di Vincenzo di Meo vini improntati sulla semplicità e sul rispetto della tradizione e del territorio.  La Sibilla lavora i vitigni di Falanghina ad un’altitudine dai 50 ai 150 metri sopra il livello del mare con esposizione sud-ovest, le uve prendono vigore e si nutrono del terreno di origine vulcanica caratterizzato da una forte presenza di ceneri e lapillie e intriso di sali minerali. Effettuata la vendemmia solo ed esclusivamente manualmente, il lavoro passa in cantina dove la vinificazione viene attesa all’interno di vasche d’acciaio a temperatura controllata a cui segue un affinamento sempre in tini dello stesso materiale per circa sei mesi sui lieviti.  La Falanghina La Sibilla si presenta al bicchiere con un vivace color giallo paglierino dai riflessi dorati, al naso note di macchia mediterranea e di erbe aromatiche, come la salvia e il timo, aprono il mosaico olfattivo che va a concludersi con note di frutta tropicale e pesca gialla su uno sfondo sapido, grazie all’origine vulcanica del terreno, e piacevolmente fresco. In bocca regna la coerenza con quanto percepito al naso, infatti freschezza e mineralità creano un sorso vibrante e teso, col grande pregio di non svanire subito ma capace di slanciarsi e persistere nell’allietare le papille.";"The Falanghina from the La Sibilla winery is a wine produced entirely with this ancient vine of Greek origin, still cultivated ungrafted thanks to the volcanic composition of the soil and an ecosystem that has stemmed the incalculable damage of phylloxera. The vine originates from the name of the pole that supports the plant, the Phalange and once matured the bunches are well tapered and have a beautiful golden color. On the slopes of the Baia hill, immersed in a historical archaeological context of rare importance, thanks to the skills of Vincenzo di Meo, wines based on simplicity and respect for tradition and the territory are born.  La Sibilla works the Falanghina vines at an altitude from 50 to 150 meters above sea level with south-west exposure, the grapes take strength and feed on the soil of volcanic origin characterized by a strong presence of ash and lapillies and soaked of mineral salts. Once the harvest has been carried out exclusively manually, the work passes to the cellar where the vinification is awaited inside temperature-controlled steel tanks followed by refinement in vats of the same material for approximately six months on the yeasts.  The Falanghina La Sibilla presents itself in the glass with a lively straw yellow color with golden reflections, on the nose notes of Mediterranean scrub and aromatic herbs, such as sage and thyme, open the olfactory mosaic which ends with notes of tropical fruit and yellow peach on a savory background, thanks to the volcanic origin of the soil, and pleasantly fresh. Coherence reigns in the mouth with what is perceived on the nose, in fact freshness and minerality create a vibrant and tense sip, with the great advantage of not vanishing immediately but capable of soaring forward and persisting in delighting the taste buds.";"0";"255";"43"
"151";"FALANGHINA d.o.c. Campi Flegrei (La Sibilla Bacoli,NA) 375 ml";"FALANGHINA d.o.c. Campi Flegrei (La Sibilla Bacoli,NA) 375 ml";"Mezza bottiglia";"Half bottle";"0";"256";"16"
